n_blocks,combo,model,k,C,n_train_windows,auc,acc,p_high_low,p_high_moderate,p_high_high
3,1_2_3,svm_lin,40,0.1,927,0.6860684324630031,0.5861650485436893,0.6359086674743119,0.8979047884643115,0.9503269248382681
3,1_2_3,svm_lin,40,1.0,927,0.6794290225280423,0.633495145631068,0.3615884804865801,0.6790355368606052,0.762824595537482
3,1_2_3,logreg,54,0.003,927,0.7089617306060891,0.6201456310679612,0.5242201089859009,0.6555083990097046,0.7268988490104675
3,1_2_3,svm_lin,54,0.01,927,0.7396903572438497,0.5461165048543689,0.8327654023430785,0.9392443732060476,0.989283992087462
3,1_2_3,svm_lin,54,0.1,927,0.7049851541144312,0.5473300970873787,0.839161372264885,0.9624529426571068,0.9952372304611403
3,1_2_3,svm_lin,54,1.0,927,0.6865809689885946,0.5558252427184466,0.8045809737931616,0.951484993782124,0.9894864708543919
3,1_2_4,logreg,10,0.003,927,0.5894464605523613,0.6152912621359223,0.4963102638721466,0.6251254677772522,0.6810988187789917
3,1_2_4,svm_lin,10,0.01,927,0.581075030634367,0.5788834951456311,0.728727408071926,0.9160828585906562,0.9713985790252422
3,1_2_4,svm_lin,10,0.1,927,0.569628381562824,0.5521844660194175,0.8233658639024704,0.9682657523673576,0.9829162437508876
3,1_2_4,svm_lin,10,1.0,927,0.5611744745027807,0.5109223300970874,0.9023817932794583,0.968867392509031,0.9764662603705482
3,1_2_4,logreg,20,0.003,927,0.6176772080309172,0.6237864077669902,0.503554105758667,0.6335381865501404,0.7159988880157471
3,1_2_4,svm_lin,20,0.01,927,0.6170880855877086,0.566747572815534,0.7692647021659464,0.9400614009265235,0.98934002225369
3,1_2_4,svm_lin,20,0.1,927,0.6278601894617777,0.5072815533980582,0.9813145337704428,0.9906847413714331,0.9998705411917107
3,1_2_4,svm_lin,20,1.0,927,0.6025426524648883,0.5,0.998268444388233,0.9964086974061791,0.999999978880407
3,1_2_4,logreg,30,0.003,927,0.626508153454614,0.5327669902912622,0.8681250810623169,0.9605517983436584,0.982905387878418
3,1_2_4,svm_lin,30,0.01,927,0.639395206899802,0.5,0.9957304935107494,0.999034526528687,0.9999896645931762
3,1_2_4,svm_lin,30,0.1,927,0.6433246535960034,0.5,0.9972556226433736,0.9967281345512633,0.9999999834560627
3,1_2_4,svm_lin,30,1.0,927,0.6133147563389576,0.5,0.9999489983940464,0.9989873280806553,0.999995031045748
3,1_2_4,logreg,40,0.003,927,0.6802803044584786,0.5,0.9398571252822876,0.9771246314048767,0.9911194443702698
3,1_2_4,svm_lin,40,0.01,927,0.7069410406258837,0.5206310679611651,0.90779814480513,0.9714573619271443,0.9972969165532424
3,1_2_4,svm_lin,40,0.1,927,0.6729251107550193,0.5097087378640777,0.9664198164060809,0.969400384641605,0.9958010561425088
3,1_2_4,svm_lin,40,1.0,927,0.6423555471769252,0.5048543689320388,0.9950714778327695,0.9758198597088771,0.998445060580697
3,1_2_4,logreg,54,0.003,927,0.6890140446790461,0.5303398058252428,0.875523567199707,0.9651510119438171,0.989577054977417
3,1_2_4,svm_lin,54,0.01,927,0.7153124705438779,0.5254854368932039,0.903497156448618,0.9859292642009517,0.9978537004665996
3,1_2_4,svm_lin,54,0.1,927,0.6803215430295033,0.5,0.995558924840854,0.9992243862771811,0.9999835896831853
3,1_2_4,svm_lin,54,1.0,927,0.6640205250259215,0.5,0.9971642967025299,0.9986834754186551,0.9999370866495753
3,1_2_5,logreg,10,0.003,927,0.6619733245357716,0.6067961165048543,0.45847365260124207,0.5389254093170166,0.627746045589447
3,1_2_5,svm_lin,10,0.01,927,0.6624799698369309,0.6225728155339806,0.5203010904792837,0.6255207254549299,0.7831459871552947
3,1_2_5,svm_lin,10,0.1,927,0.6568774154020172,0.6225728155339806,0.435161272739223,0.5462364116356822,0.6857101776519955
3,1_2_5,svm_lin,10,1.0,927,0.6503911773022905,0.5970873786407767,0.3438290539024609,0.4577336966946758,0.5629231511824804
3,1_2_5,logreg,20,0.003,927,0.6376720237534169,0.6055825242718447,0.448713093996048,0.5586144328117371,0.6184206008911133
3,1_2_5,svm_lin,20,0.01,927,0.6632929588085588,0.6359223300970874,0.486275967999884,0.6421481625462963,0.7860303459533331
3,1_2_5,svm_lin,20,0.1,927,0.6586271090583466,0.6480582524271845,0.40794049670886073,0.608413820588076,0.7230221559194449
3,1_2_5,svm_lin,20,1.0,927,0.6380019323216137,0.6213592233009708,0.4825283881987978,0.6686158550004059,0.767474938121819
3,1_2_5,logreg,30,0.003,927,0.642125789424074,0.5703883495145631,0.6714829206466675,0.787971556186676,0.8436309099197388
3,1_2_5,svm_lin,30,0.01,927,0.6784334055990197,0.6225728155339806,0.5786238680911867,0.7221048667151496,0.8774532349976538
3,1_2_5,svm_lin,30,0.1,927,0.6639468847205202,0.6237864077669902,0.4640172380335241,0.6743852535291336,0.787166255480119
3,1_2_5,svm_lin,30,1.0,927,0.6488358940522199,0.6177184466019418,0.5652176853337653,0.786102794064166,0.8843717722821084
3,1_2_5,logreg,40,0.003,927,0.6402052502592139,0.5679611650485437,0.6931082010269165,0.8132272362709045,0.866607129573822
3,1_2_5,svm_lin,40,0.01,927,0.6855500047129796,0.6213592233009708,0.5939802535947173,0.7453759518303695,0.9006581994706264
3,1_2_5,svm_lin,40,0.1,927,0.6863217551135828,0.6407766990291263,0.5306616080237644,0.7371238873082115,0.874894736649688
3,1_2_5,svm_lin,40,1.0,927,0.6713757187293807,0.6225728155339806,0.40139767201479115,0.6344352363546442,0.7404490100380969
3,1_2_5,logreg,54,0.003,927,0.6713226977094919,0.5703883495145631,0.6978673934936523,0.8226706385612488,0.8865888118743896
3,1_2_5,svm_lin,54,0.01,927,0.7065109812423415,0.6468446601941747,0.5405236869198152,0.6662887661250974,0.8516972952318314
3,1_2_5,svm_lin,54,0.1,927,0.5891931379017815,0.5849514563106796,0.660485306981633,0.7185394393153032,0.822675823685875
3,1_2_5,svm_lin,54,1.0,927,0.5261570364784617,0.5194174757281553,0.9369940590335739,0.9540319277403919,0.9885418282539725
3,1_2_6,logreg,10,0.003,902,0.5989843529079084,0.4963592233009709,0.2781154215335846,0.3610226809978485,0.4110131859779358
3,1_2_6,svm_lin,10,0.01,902,0.5969813366009991,0.5934466019417476,0.3417810933437682,0.4581640106025321,0.528506963005872
3,1_2_6,svm_lin,10,0.1,902,0.611774201149967,0.5922330097087378,0.38057517491630366,0.531583832414883,0.5916317557282534
3,1_2_6,svm_lin,10,1.0,902,0.6025544349137524,0.5922330097087378,0.6891588512100081,0.8864405618360053,0.9543178267487137
3,1_2_6,logreg,20,0.003,902,0.6561822509190309,0.6177184466019418,0.37417954206466675,0.47408509254455566,0.5502421259880066
3,1_2_6,svm_lin,20,0.01,902,0.6437282024696013,0.6043689320388349,0.6296780737804631,0.8077171253520232,0.9198133632680152
3,1_2_6,svm_lin,20,0.1,902,0.6534369403336789,0.5885922330097088,0.6858097998017975,0.8906470052706082,0.9633470711049004
3,1_2_6,svm_lin,20,1.0,902,0.6677172683570554,0.5825242718446602,0.7028694379839682,0.9127389295611261,0.9757778416490169
3,1_2_6,logreg,30,0.003,902,0.6610955320953907,0.5837378640776699,0.6378925442695618,0.7804033756256104,0.8462093472480774
3,1_2_6,svm_lin,30,0.01,902,0.6284522575172025,0.5606796116504854,0.7828533734027905,0.9508978267184586,0.9892978201024226
3,1_2_6,svm_lin,30,0.1,902,0.6244049863323593,0.5461165048543689,0.8280534218091635,0.9754538854092927,0.9932241423490997
3,1_2_6,svm_lin,30,1.0,902,0.6381992883400887,0.5558252427184466,0.7945608730828057,0.9618875419463798,0.9911460375177041
3,1_2_6,logreg,40,0.003,902,0.7049380243189745,0.6080097087378641,0.578075647354126,0.7321137189865112,0.8315744400024414
3,1_2_6,svm_lin,40,0.01,902,0.7274130455273824,0.6577669902912622,0.4784854682086157,0.6131371409585479,0.8185747811012505
3,1_2_6,svm_lin,40,0.1,902,0.7198192572344235,0.6371359223300971,0.5728375261612386,0.7394806599222742,0.9242758555662324
3,1_2_6,svm_lin,40,1.0,902,0.7029320623998492,0.5764563106796117,0.7503040386103748,0.9234250438290066,0.9845816062749624
3,1_2_6,logreg,54,0.003,902,0.7047377226882836,0.6140776699029126,0.5880720615386963,0.7461085915565491,0.8535832762718201
3,1_2_6,svm_lin,54,0.01,902,0.7285441606183429,0.6638349514563107,0.5106526834959095,0.6557388203529034,0.8778567820729465
3,1_2_6,svm_lin,54,0.1,902,0.7049144594212462,0.6031553398058253,0.6751787812046006,0.845267620837494,0.9647728292366121
3,1_2_6,svm_lin,54,1.0,902,0.7074300122537468,0.5885922330097088,0.7106041594565944,0.8738380127707231,0.9723793422652817
3,1_3_4,logreg,10,0.003,927,0.609093694033368,0.5,0.3910858631134033,0.3930593729019165,0.39864519238471985
3,1_3_4,svm_lin,10,0.01,927,0.6060066924309547,0.5,0.26558148132487824,0.2735198078791637,0.28621845684535735
3,1_3_4,svm_lin,10,0.1,927,0.5635486379489113,0.5,0.09099507377997067,0.11447595498460089,0.11304052982410369
3,1_3_4,svm_lin,10,1.0,927,0.5514951927608635,0.5072815533980582,0.2553243138960128,0.31152699819497326,0.30444624863323605
3,1_3_4,logreg,20,0.003,927,0.655569563578094,0.5218446601941747,0.31389617919921875,0.38921263813972473,0.4322817027568817
3,1_3_4,svm_lin,20,0.01,927,0.6459374116316335,0.5024271844660194,0.17612038011583422,0.24224139728441574,0.28485229398427225
3,1_3_4,svm_lin,20,0.1,927,0.6138596945989254,0.5339805825242718,0.24786954568083355,0.3752620450350713,0.4017630815636483
