n_blocks,combo,model,k,C,gamma,n_est,n_train_windows,auc,acc,youdens_j,j_threshold,p_high_low,p_high_moderate,p_high_high
3,3_4_5,logreg,30,0.003,na,0,927,0.6236685832783485,0.47936893203883496,0.2936893203883496,0.22968892753124237,0.2662864625453949,0.3336777985095978,0.34754011034965515
3,3_4_5,svm_lin,30,0.01,na,0,927,0.6141247996983693,0.5946601941747572,0.28640776699029125,0.3721222516080508,0.4184927043628722,0.5662654798872266,0.6212774544377766
3,3_4_5,svm_lin,30,0.1,na,0,927,0.6209527288151571,0.6456310679611651,0.3398058252427185,0.6570229665853795,0.5246489575102761,0.7257785927245106,0.8382260279729166
3,3_4_5,svm_lin,30,1.0,na,0,927,0.628911773022905,0.5279126213592233,0.354368932038835,0.062015577758162445,0.23716598918204296,0.3767880792699093,0.3726160247891719
3,3_4_5,svm_rbf,30,0.1,auto,0,927,0.29271137713262324,0.5,0.01699029126213592,0.1386791578102425,0.13867905600034333,0.1386791133580728,0.138679011135588
3,3_4_5,svm_rbf,30,0.1,scale,0,927,0.29271137713262324,0.5,0.01699029126213592,0.138679185043592,0.138679083233699,0.13867914059142553,0.1386790383689451
3,3_4_5,svm_rbf,30,1.0,auto,0,927,0.2989619662550665,0.5,0.014563106796116505,0.018382901691866283,0.018382844394551304,0.018382877067563492,0.018382818453598262
3,3_4_5,svm_rbf,30,1.0,scale,0,927,0.2989619662550665,0.5,0.014563106796116505,0.018383578661285514,0.018383521361947628,0.018383554036124582,0.01838349541970778
3,3_4_5,svm_rbf,30,10.0,auto,0,927,0.30200772928645486,0.5,0.021844660194174755,0.011048508625699236,0.011048474343302604,0.011048494457294023,0.011048460247083173
3,3_4_5,svm_rbf,30,10.0,scale,0,927,0.302013620510887,0.5,0.021844660194174755,0.011048736182933163,0.011048701906361267,0.01104872201642027,0.011048687814370203
3,3_4_5,lda,30,nan,na,0,927,0.6182840041474221,0.4563106796116505,0.33009708737864085,0.03262787125710113,0.1583032594936374,0.23919772743021112,0.1891774433646714
3,3_4_5,logreg,40,0.003,na,0,927,0.6243932038834952,0.508495145631068,0.2912621359223302,0.2764875888824463,0.31760820746421814,0.4013923704624176,0.4225763976573944
3,3_4_5,svm_lin,40,0.01,na,0,927,0.6072202846639645,0.5752427184466019,0.2815533980582524,0.7647928516236687,0.6733665288484185,0.8373429584432845,0.8970729005975149
3,3_4_5,svm_lin,40,0.1,na,0,927,0.6229086153266095,0.5934466019417476,0.3228155339805826,0.8769608641744736,0.6641237749156205,0.8575863387750716,0.9459768261480748
3,3_4_5,svm_lin,40,1.0,na,0,927,0.6348442360260157,0.6407766990291263,0.3203883495145632,0.7750346768649123,0.5950382085352474,0.7722583526034288,0.9148472733962434
3,3_4_5,svm_rbf,40,0.1,auto,0,927,0.26727896125930817,0.5,0.004854368932038835,0.1131531179378323,0.11315304929029138,0.11315308722333049,0.11315301001463375
3,3_4_5,svm_rbf,40,0.1,scale,0,927,0.26727896125930817,0.5,0.004854368932038835,0.1131530392857927,0.11315297063825497,0.11315300857129247,0.11315293136260435
3,3_4_5,svm_rbf,40,1.0,auto,0,927,0.26969436327646334,0.5,0.00970873786407767,0.012284309612726614,0.012284276965573236,0.012284295597237243,0.01228425734275635
3,3_4_5,svm_rbf,40,1.0,scale,0,927,0.26969436327646334,0.5,0.00970873786407767,0.012284566078761534,0.012284533430847665,0.01228455206299677,0.012284513807750932
3,3_4_5,svm_rbf,40,10.0,auto,0,927,0.2773824111603356,0.5,0.014563106796116505,0.006834611508349474,0.00683459827117272,0.006834605728805925,0.006834591495271121
3,3_4_5,svm_rbf,40,10.0,scale,0,927,0.2773765199359035,0.5,0.014563106796116505,0.006835794824639618,0.006835781584978186,0.006835789043978899,0.006835774807455474
3,3_4_5,lda,40,nan,na,0,927,0.6177832500706948,0.5097087378640777,0.32766990291262144,0.05745163745068154,0.22202827499040206,0.3459016714702463,0.3301641750626334
3,3_4_5,logreg,54,0.003,na,0,927,0.6180954849655953,0.4890776699029126,0.279126213592233,0.2445998340845108,0.26440587639808655,0.3517690598964691,0.35164812207221985
3,3_4_5,svm_lin,54,0.01,na,0,927,0.6090642379112075,0.6286407766990292,0.279126213592233,0.46608843570857167,0.4676356350957429,0.6601179604726141,0.720651557539805
3,3_4_5,svm_lin,54,0.1,na,0,927,0.6190321896502969,0.6007281553398058,0.2766990291262136,0.10948642757914515,0.3135031387366653,0.5357062965917171,0.5984325570429094
3,3_4_5,svm_lin,54,1.0,na,0,927,0.6200484258648318,0.6189320388349514,0.26941747572815533,0.37102507571914234,0.4494185339494672,0.6278992400720304,0.7571350904910678
3,3_4_5,svm_rbf,54,0.1,auto,0,927,0.27392426241870105,0.5,0.0024271844660194164,0.20713268657858735,0.20715110194067693,0.20715208619978687,0.20714949096974022
3,3_4_5,svm_rbf,54,0.1,scale,0,927,0.27392426241870105,0.5,0.0024271844660194164,0.2071326857474609,0.2071511011104253,0.20715208536958218,0.20714949013940037
3,3_4_5,svm_rbf,54,1.0,auto,0,927,0.2682156659440098,0.5,0.0024271844660194164,0.06351912951584764,0.06354214133833437,0.06354375520352258,0.06353982580400626
3,3_4_5,svm_rbf,54,1.0,scale,0,927,0.2682156659440098,0.5,0.0024271844660194164,0.06352739315242466,0.06355040923419293,0.06355202336601788,0.06354809327275006
3,3_4_5,svm_rbf,54,10.0,auto,0,927,0.26937034593269865,0.5,0.0024271844660194164,0.020214058250238472,0.02022286558258959,0.020223478867550958,0.0202219885909375
