model,k,C,gamma,n_est,n_blocks,n_combos,auc_mean,auc_std,acc_mean,acc_std,j_mean,j_std,j_threshold_mean,p_high_low_mean,p_high_moderate_mean,p_high_high_mean
svm_rbf,10,0.1,auto,0,6,1,0.413,0.0,0.5,0.0,0.0728,0.0,0.1989,0.1924,0.1925,0.1921
svm_rbf,10,0.1,scale,0,1,6,0.4541,0.0727,0.501,0.0023,0.0044,0.01,inf,0.333,0.336,0.3323
svm_rbf,10,0.1,scale,0,2,15,0.5193,0.1147,0.5007,0.0022,0.1172,0.1358,inf,0.2167,0.2173,0.2177
svm_rbf,10,0.1,scale,0,3,20,0.5218,0.1254,0.4966,0.0163,0.1532,0.1213,inf,0.2095,0.2093,0.2105
svm_rbf,10,0.1,scale,0,4,15,0.5132,0.1182,0.5,0.0,0.1301,0.1284,inf,0.1942,0.1945,0.1946
svm_rbf,10,0.1,scale,0,5,6,0.4829,0.1221,0.5,0.0,0.11,0.1159,0.1943,0.1879,0.1882,0.1879
svm_rbf,10,0.1,scale,0,6,1,0.413,0.0,0.5,0.0,0.0728,0.0,0.1989,0.1924,0.1925,0.1921
svm_rbf,10,1.0,auto,0,1,6,0.4572,0.0703,0.5008,0.0018,0.0036,0.0081,inf,0.3305,0.3351,0.33
svm_rbf,10,1.0,auto,0,2,15,0.5168,0.1372,0.4974,0.0114,0.1176,0.1521,inf,0.1954,0.1962,0.1976
svm_rbf,10,1.0,auto,0,3,20,0.4839,0.1247,0.5012,0.0245,0.1152,0.1127,inf,0.1675,0.1672,0.1696
svm_rbf,10,1.0,auto,0,4,15,0.5052,0.1267,0.501,0.0028,0.1186,0.1291,inf,0.1451,0.146,0.1456
svm_rbf,10,1.0,auto,0,5,6,0.4594,0.1268,0.5014,0.0032,0.0874,0.124,0.1598,0.1363,0.1378,0.1348
svm_rbf,10,1.0,auto,0,6,1,0.3839,0.0,0.5,0.0,0.0461,0.0,0.1343,0.1037,0.1049,0.1019
svm_rbf,10,1.0,scale,0,1,6,0.4572,0.0703,0.5008,0.0018,0.0036,0.0081,inf,0.3305,0.3351,0.33
svm_rbf,10,1.0,scale,0,2,15,0.5162,0.1373,0.4974,0.0114,0.1168,0.1527,inf,0.1954,0.1962,0.1976
